"DATE","TIME PERIOD","Euro short-term rate (EST.B.EU000A2X2A25.WT)"
"2024-03-06","06 Mar 2024","3.905"
"2024-03-07","07 Mar 2024","3.908"
"2024-03-08","08 Mar 2024","3.907"
"2024-03-11","11 Mar 2024","3.904"
"2024-03-12","12 Mar 2024","3.905"
"2024-03-13","13 Mar 2024","3.907"
"2024-03-14","14 Mar 2024","3.908"
"2024-03-15","15 Mar 2024","3.909"
"2024-03-18","18 Mar 2024","3.909"
"2024-03-19","19 Mar 2024","3.908"
"2024-03-20","20 Mar 2024","3.908"
"2024-03-21","21 Mar 2024","3.907"
"2024-03-22","22 Mar 2024","3.909"
"2024-03-25","25 Mar 2024","3.909"
"2024-03-26","26 Mar 2024","3.906"
"2024-03-27","27 Mar 2024","3.906"
"2024-03-28","28 Mar 2024","3.899"
"2024-04-02","02 Apr 2024","3.906"
"2024-04-03","03 Apr 2024","3.911"
"2024-04-04","04 Apr 2024","3.912"
"2024-04-05","05 Apr 2024","3.907"
"2024-04-08","08 Apr 2024","3.908"
"2024-04-09","09 Apr 2024","3.909"
"2024-04-10","10 Apr 2024","3.907"
"2024-04-11","11 Apr 2024","3.907"
"2024-04-12","12 Apr 2024","3.910"
"2024-04-15","15 Apr 2024","3.907"
"2024-04-16","16 Apr 2024","3.911"
"2024-04-17","17 Apr 2024","3.908"
"2024-04-18","18 Apr 2024","3.909"
"2024-04-19","19 Apr 2024","3.910"
"2024-04-22","22 Apr 2024","3.910"
"2024-04-23","23 Apr 2024","3.908"
"2024-04-24","24 Apr 2024","3.911"
"2024-04-25","25 Apr 2024","3.909"
"2024-04-26","26 Apr 2024","3.907"
"2024-04-29","29 Apr 2024","3.906"
"2024-04-30","30 Apr 2024","3.889"
"2024-05-02","02 May 2024","3.910"
"2024-05-03","03 May 2024","3.908"
"2024-05-06","06 May 2024","3.909"
"2024-05-07","07 May 2024","3.906"
"2024-05-08","08 May 2024","3.905"
"2024-05-09","09 May 2024","3.901"
"2024-05-10","10 May 2024","3.906"
"2024-05-13","13 May 2024","3.907"
"2024-05-14","14 May 2024","3.907"
"2024-05-15","15 May 2024","3.908"
"2024-05-16","16 May 2024","3.904"
"2024-05-17","17 May 2024","3.901"
"2024-05-20","20 May 2024","3.904"
"2024-05-21","21 May 2024","3.912"
"2024-05-22","22 May 2024","3.910"
"2024-05-23","23 May 2024","3.912"
"2024-05-24","24 May 2024","3.910"
"2024-05-27","27 May 2024","3.911"
"2024-05-28","28 May 2024","3.909"
"2024-05-29","29 May 2024","3.909"
"2024-05-30","30 May 2024","3.910"
"2024-05-31","31 May 2024","3.892"
"2024-06-03","03 Jun 2024","3.913"
"2024-06-04","04 Jun 2024","3.911"
"2024-06-05","05 Jun 2024","3.913"
"2024-06-06","06 Jun 2024","3.911"
"2024-06-07","07 Jun 2024","3.912"
"2024-06-10","10 Jun 2024","3.912"
"2024-06-11","11 Jun 2024","3.909"
"2024-06-12","12 Jun 2024","3.662"
"2024-06-13","13 Jun 2024","3.661"
"2024-06-14","14 Jun 2024","3.662"
"2024-06-17","17 Jun 2024","3.662"
"2024-06-18","18 Jun 2024","3.666"
"2024-06-19","19 Jun 2024","3.663"
"2024-06-20","20 Jun 2024","3.663"
"2024-06-21","21 Jun 2024","3.664"
"2024-06-24","24 Jun 2024","3.663"
"2024-06-25","25 Jun 2024","3.663"
"2024-06-26","26 Jun 2024","3.661"
"2024-06-27","27 Jun 2024","3.662"
"2024-06-28","28 Jun 2024","3.656"
"2024-07-01","01 Jul 2024","3.665"
"2024-07-02","02 Jul 2024","3.662"
"2024-07-03","03 Jul 2024","3.663"
"2024-07-04","04 Jul 2024","3.663"
"2024-07-05","05 Jul 2024","3.663"
"2024-07-08","08 Jul 2024","3.662"
"2024-07-09","09 Jul 2024","3.662"
"2024-07-10","10 Jul 2024","3.663"
"2024-07-11","11 Jul 2024","3.662"
"2024-07-12","12 Jul 2024","3.661"
"2024-07-15","15 Jul 2024","3.661"
"2024-07-16","16 Jul 2024","3.662"
"2024-07-17","17 Jul 2024","3.662"
"2024-07-18","18 Jul 2024","3.663"
"2024-07-19","19 Jul 2024","3.663"
"2024-07-22","22 Jul 2024","3.664"
"2024-07-23","23 Jul 2024","3.665"
"2024-07-24","24 Jul 2024","3.665"
"2024-07-25","25 Jul 2024","3.665"
"2024-07-26","26 Jul 2024","3.663"
"2024-07-29","29 Jul 2024","3.663"
"2024-07-30","30 Jul 2024","3.665"
"2024-07-31","31 Jul 2024","3.653"
"2024-08-01","01 Aug 2024","3.664"
"2024-08-02","02 Aug 2024","3.664"
"2024-08-05","05 Aug 2024","3.664"
"2024-08-06","06 Aug 2024","3.663"
"2024-08-07","07 Aug 2024","3.663"
"2024-08-08","08 Aug 2024","3.665"
"2024-08-09","09 Aug 2024","3.663"
"2024-08-12","12 Aug 2024","3.664"
"2024-08-13","13 Aug 2024","3.664"
"2024-08-14","14 Aug 2024","3.662"
"2024-08-15","15 Aug 2024","3.662"
"2024-08-16","16 Aug 2024","3.664"
"2024-08-19","19 Aug 2024","3.664"
"2024-08-20","20 Aug 2024","3.664"
"2024-08-21","21 Aug 2024","3.663"
"2024-08-22","22 Aug 2024","3.664"
"2024-08-23","23 Aug 2024","3.664"
"2024-08-26","26 Aug 2024","3.665"
"2024-08-27","27 Aug 2024","3.665"
"2024-08-28","28 Aug 2024","3.666"
"2024-08-29","29 Aug 2024","3.664"
"2024-08-30","30 Aug 2024","3.654"
"2024-09-02","02 Sep 2024","3.664"
"2024-09-03","03 Sep 2024","3.663"
"2024-09-04","04 Sep 2024","3.663"
"2024-09-05","05 Sep 2024","3.662"
"2024-09-06","06 Sep 2024","3.663"
"2024-09-09","09 Sep 2024","3.663"
"2024-09-10","10 Sep 2024","3.664"
"2024-09-11","11 Sep 2024","3.664"
"2024-09-12","12 Sep 2024","3.664"
"2024-09-13","13 Sep 2024","3.663"
"2024-09-16","16 Sep 2024","3.662"
"2024-09-17","17 Sep 2024","3.665"
"2024-09-18","18 Sep 2024","3.416"
"2024-09-19","19 Sep 2024","3.414"
"2024-09-20","20 Sep 2024","3.412"
"2024-09-23","23 Sep 2024","3.414"
"2024-09-24","24 Sep 2024","3.415"
"2024-09-25","25 Sep 2024","3.416"
"2024-09-26","26 Sep 2024","3.415"
"2024-09-27","27 Sep 2024","3.415"
"2024-09-30","30 Sep 2024","3.410"
"2024-10-01","01 Oct 2024","3.416"
"2024-10-02","02 Oct 2024","3.410"
"2024-10-03","03 Oct 2024","3.407"
"2024-10-04","04 Oct 2024","3.414"
"2024-10-07","07 Oct 2024","3.413"
"2024-10-08","08 Oct 2024","3.414"
"2024-10-09","09 Oct 2024","3.415"
"2024-10-10","10 Oct 2024","3.414"
"2024-10-11","11 Oct 2024","3.413"
"2024-10-14","14 Oct 2024","3.413"
"2024-10-15","15 Oct 2024","3.413"
"2024-10-16","16 Oct 2024","3.414"
"2024-10-17","17 Oct 2024","3.415"
"2024-10-18","18 Oct 2024","3.415"
"2024-10-21","21 Oct 2024","3.415"
"2024-10-22","22 Oct 2024","3.416"
"2024-10-23","23 Oct 2024","3.166"
"2024-10-24","24 Oct 2024","3.166"
"2024-10-25","25 Oct 2024","3.166"
"2024-10-28","28 Oct 2024","3.164"
"2024-10-29","29 Oct 2024","3.164"
"2024-10-30","30 Oct 2024","3.165"
"2024-10-31","31 Oct 2024","3.155"
"2024-11-01","01 Nov 2024","3.163"
"2024-11-04","04 Nov 2024","3.163"
"2024-11-05","05 Nov 2024","3.163"
"2024-11-06","06 Nov 2024","3.162"
"2024-11-07","07 Nov 2024","3.163"
"2024-11-08","08 Nov 2024","3.163"
"2024-11-11","11 Nov 2024","3.162"
"2024-11-12","12 Nov 2024","3.163"
"2024-11-13","13 Nov 2024","3.164"
"2024-11-14","14 Nov 2024","3.165"
"2024-11-15","15 Nov 2024","3.165"
"2024-11-18","18 Nov 2024","3.165"
"2024-11-19","19 Nov 2024","3.166"
"2024-11-20","20 Nov 2024","3.167"
"2024-11-21","21 Nov 2024","3.167"
"2024-11-22","22 Nov 2024","3.168"
"2024-11-25","25 Nov 2024","3.167"
"2024-11-26","26 Nov 2024","3.165"
"2024-11-27","27 Nov 2024","3.165"
"2024-11-28","28 Nov 2024","3.164"
"2024-11-29","29 Nov 2024","3.163"
"2024-12-02","02 Dec 2024","3.165"
"2024-12-03","03 Dec 2024","3.164"
"2024-12-04","04 Dec 2024","3.165"
"2024-12-05","05 Dec 2024","3.165"
"2024-12-06","06 Dec 2024","3.165"
"2024-12-09","09 Dec 2024","3.164"
"2024-12-10","10 Dec 2024","3.163"
"2024-12-11","11 Dec 2024","3.164"
"2024-12-12","12 Dec 2024","3.164"
"2024-12-13","13 Dec 2024","3.167"
"2024-12-16","16 Dec 2024","3.165"
"2024-12-17","17 Dec 2024","3.164"
"2024-12-18","18 Dec 2024","2.917"
"2024-12-19","19 Dec 2024","2.919"
"2024-12-20","20 Dec 2024","2.916"
"2024-12-23","23 Dec 2024","2.911"
"2024-12-24","24 Dec 2024","2.909"
"2024-12-27","27 Dec 2024","2.916"
"2024-12-30","30 Dec 2024","2.915"
"2024-12-31","31 Dec 2024","2.905"
"2025-01-02","02 Jan 2025","2.920"
"2025-01-03","03 Jan 2025","2.919"
"2025-01-06","06 Jan 2025","2.917"
"2025-01-07","07 Jan 2025","2.918"
"2025-01-08","08 Jan 2025","2.917"
"2025-01-09","09 Jan 2025","2.920"
"2025-01-10","10 Jan 2025","2.917"
"2025-01-13","13 Jan 2025","2.918"
"2025-01-14","14 Jan 2025","2.919"
"2025-01-15","15 Jan 2025","2.920"
"2025-01-16","16 Jan 2025","2.920"
"2025-01-17","17 Jan 2025","2.920"
"2025-01-20","20 Jan 2025","2.919"
"2025-01-21","21 Jan 2025","2.921"
"2025-01-22","22 Jan 2025","2.920"
"2025-01-23","23 Jan 2025","2.922"
"2025-01-24","24 Jan 2025","2.921"
"2025-01-27","27 Jan 2025","2.921"
"2025-01-28","28 Jan 2025","2.921"
"2025-01-29","29 Jan 2025","2.923"
"2025-01-30","30 Jan 2025","2.923"
"2025-01-31","31 Jan 2025","2.912"
"2025-02-03","03 Feb 2025","2.918"
"2025-02-04","04 Feb 2025","2.917"
"2025-02-05","05 Feb 2025","2.666"
"2025-02-06","06 Feb 2025","2.669"
"2025-02-07","07 Feb 2025","2.665"
"2025-02-10","10 Feb 2025","2.664"
"2025-02-11","11 Feb 2025","2.666"
"2025-02-12","12 Feb 2025","2.665"
"2025-02-13","13 Feb 2025","2.667"
"2025-02-14","14 Feb 2025","2.666"
"2025-02-17","17 Feb 2025","2.665"
"2025-02-18","18 Feb 2025","2.666"
"2025-02-19","19 Feb 2025","2.665"
"2025-02-20","20 Feb 2025","2.667"
"2025-02-21","21 Feb 2025","2.666"
"2025-02-24","24 Feb 2025","2.666"
"2025-02-25","25 Feb 2025","2.666"
"2025-02-26","26 Feb 2025","2.665"
"2025-02-27","27 Feb 2025","2.666"
"2025-02-28","28 Feb 2025","2.658"
"2025-03-03","03 Mar 2025","2.663"
"2025-03-04","04 Mar 2025","2.664"
"2025-03-05","05 Mar 2025","2.664"
"2025-03-06","06 Mar 2025","2.666"
"2025-03-07","07 Mar 2025","2.665"
"2025-03-10","10 Mar 2025","2.663"
"2025-03-11","11 Mar 2025","2.663"
"2025-03-12","12 Mar 2025","2.412"
"2025-03-13","13 Mar 2025","2.413"
"2025-03-14","14 Mar 2025","2.417"
"2025-03-17","17 Mar 2025","2.417"
"2025-03-18","18 Mar 2025","2.417"
"2025-03-19","19 Mar 2025","2.416"
"2025-03-20","20 Mar 2025","2.417"
"2025-03-21","21 Mar 2025","2.417"
"2025-03-24","24 Mar 2025","2.418"
"2025-03-25","25 Mar 2025","2.418"
"2025-03-26","26 Mar 2025","2.417"
"2025-03-27","27 Mar 2025","2.417"
"2025-03-28","28 Mar 2025","2.417"
"2025-03-31","31 Mar 2025","2.415"
"2025-04-01","01 Apr 2025","2.420"
"2025-04-02","02 Apr 2025","2.417"
"2025-04-03","03 Apr 2025","2.416"
"2025-04-04","04 Apr 2025","2.415"
"2025-04-07","07 Apr 2025","2.414"
"2025-04-08","08 Apr 2025","2.415"
"2025-04-09","09 Apr 2025","2.415"
"2025-04-10","10 Apr 2025","2.416"
"2025-04-11","11 Apr 2025","2.416"
"2025-04-14","14 Apr 2025","2.417"
"2025-04-15","15 Apr 2025","2.416"
"2025-04-16","16 Apr 2025","2.418"
"2025-04-17","17 Apr 2025","2.417"
"2025-04-22","22 Apr 2025","2.417"
"2025-04-23","23 Apr 2025","2.167"
"2025-04-24","24 Apr 2025","2.169"
"2025-04-25","25 Apr 2025","2.167"
"2025-04-28","28 Apr 2025","2.167"
"2025-04-29","29 Apr 2025","2.167"
"2025-04-30","30 Apr 2025","2.156"
"2025-05-02","02 May 2025","2.168"
"2025-05-05","05 May 2025","2.167"
"2025-05-06","06 May 2025","2.167"
"2025-05-07","07 May 2025","2.169"
"2025-05-08","08 May 2025","2.171"
"2025-05-09","09 May 2025","2.169"
"2025-05-12","12 May 2025","2.170"
"2025-05-13","13 May 2025","2.172"
"2025-05-14","14 May 2025","2.172"
"2025-05-15","15 May 2025","2.172"
"2025-05-16","16 May 2025","2.170"
"2025-05-19","19 May 2025","2.171"
"2025-05-20","20 May 2025","2.172"
"2025-05-21","21 May 2025","2.169"
"2025-05-22","22 May 2025","2.173"
"2025-05-23","23 May 2025","2.170"
"2025-05-26","26 May 2025","2.168"
"2025-05-27","27 May 2025","2.172"
"2025-05-28","28 May 2025","2.167"
"2025-05-29","29 May 2025","2.161"
"2025-05-30","30 May 2025","2.161"
"2025-06-02","02 Jun 2025","2.172"
"2025-06-03","03 Jun 2025","2.172"
"2025-06-04","04 Jun 2025","2.173"
"2025-06-05","05 Jun 2025","2.174"
"2025-06-06","06 Jun 2025","2.173"
"2025-06-09","09 Jun 2025","2.170"
"2025-06-10","10 Jun 2025","2.174"
"2025-06-11","11 Jun 2025","1.924"
"2025-06-12","12 Jun 2025","1.923"
"2025-06-13","13 Jun 2025","1.925"
"2025-06-16","16 Jun 2025","1.924"
"2025-06-17","17 Jun 2025","1.924"
"2025-06-18","18 Jun 2025","1.922"
"2025-06-19","19 Jun 2025","1.917"
"2025-06-20","20 Jun 2025","1.923"
"2025-06-23","23 Jun 2025","1.925"
"2025-06-24","24 Jun 2025","1.926"
"2025-06-25","25 Jun 2025","1.925"
"2025-06-26","26 Jun 2025","1.929"
"2025-06-27","27 Jun 2025","1.928"
"2025-06-30","30 Jun 2025","1.921"
"2025-07-01","01 Jul 2025","1.921"
"2025-07-02","02 Jul 2025","1.923"
"2025-07-03","03 Jul 2025","1.922"
"2025-07-04","04 Jul 2025","1.920"
"2025-07-07","07 Jul 2025","1.920"
"2025-07-08","08 Jul 2025","1.919"
"2025-07-09","09 Jul 2025","1.919"
"2025-07-10","10 Jul 2025","1.921"
"2025-07-11","11 Jul 2025","1.923"
"2025-07-14","14 Jul 2025","1.923"
"2025-07-15","15 Jul 2025","1.922"
"2025-07-16","16 Jul 2025","1.923"
"2025-07-17","17 Jul 2025","1.925"
"2025-07-18","18 Jul 2025","1.923"
"2025-07-21","21 Jul 2025","1.924"
"2025-07-22","22 Jul 2025","1.923"
"2025-07-23","23 Jul 2025","1.924"
"2025-07-24","24 Jul 2025","1.924"
"2025-07-25","25 Jul 2025","1.925"
"2025-07-28","28 Jul 2025","1.923"
"2025-07-29","29 Jul 2025","1.923"
"2025-07-30","30 Jul 2025","1.924"
"2025-07-31","31 Jul 2025","1.919"
"2025-08-01","01 Aug 2025","1.927"
"2025-08-04","04 Aug 2025","1.925"
"2025-08-05","05 Aug 2025","1.924"
"2025-08-06","06 Aug 2025","1.922"
"2025-08-07","07 Aug 2025","1.923"
"2025-08-08","08 Aug 2025","1.922"
"2025-08-11","11 Aug 2025","1.918"
"2025-08-12","12 Aug 2025","1.922"
"2025-08-13","13 Aug 2025","1.923"
"2025-08-14","14 Aug 2025","1.926"
"2025-08-15","15 Aug 2025","1.924"
"2025-08-18","18 Aug 2025","1.924"
"2025-08-19","19 Aug 2025","1.925"
"2025-08-20","20 Aug 2025","1.926"
"2025-08-21","21 Aug 2025","1.926"
"2025-08-22","22 Aug 2025","1.926"
"2025-08-25","25 Aug 2025","1.925"
"2025-08-26","26 Aug 2025","1.926"
"2025-08-27","27 Aug 2025","1.925"
"2025-08-28","28 Aug 2025","1.925"
"2025-08-29","29 Aug 2025","1.920"
"2025-09-01","01 Sep 2025","1.925"
"2025-09-02","02 Sep 2025","1.922"
"2025-09-03","03 Sep 2025","1.923"
"2025-09-04","04 Sep 2025","1.925"
"2025-09-05","05 Sep 2025","1.923"
"2025-09-08","08 Sep 2025","1.922"
"2025-09-09","09 Sep 2025","1.923"
"2025-09-10","10 Sep 2025","1.922"
"2025-09-11","11 Sep 2025","1.925"
"2025-09-12","12 Sep 2025","1.925"
"2025-09-15","15 Sep 2025","1.926"
"2025-09-16","16 Sep 2025","1.926"
"2025-09-17","17 Sep 2025","1.927"
"2025-09-18","18 Sep 2025","1.926"
"2025-09-19","19 Sep 2025","1.925"
"2025-09-22","22 Sep 2025","1.925"
"2025-09-23","23 Sep 2025","1.927"
"2025-09-24","24 Sep 2025","1.928"
"2025-09-25","25 Sep 2025","1.927"
"2025-09-26","26 Sep 2025","1.926"
"2025-09-29","29 Sep 2025","1.926"
"2025-09-30","30 Sep 2025","1.916"
"2025-10-01","01 Oct 2025","1.927"
"2025-10-02","02 Oct 2025","1.923"
"2025-10-03","03 Oct 2025","1.921"
"2025-10-06","06 Oct 2025","1.925"
"2025-10-07","07 Oct 2025","1.926"
"2025-10-08","08 Oct 2025","1.924"
"2025-10-09","09 Oct 2025","1.927"
"2025-10-10","10 Oct 2025","1.926"
"2025-10-13","13 Oct 2025","1.926"
"2025-10-14","14 Oct 2025","1.927"
"2025-10-15","15 Oct 2025","1.928"
"2025-10-16","16 Oct 2025","1.928"
"2025-10-17","17 Oct 2025","1.928"
"2025-10-20","20 Oct 2025","1.927"
"2025-10-21","21 Oct 2025","1.928"
"2025-10-22","22 Oct 2025","1.927"
"2025-10-23","23 Oct 2025","1.929"
"2025-10-24","24 Oct 2025","1.928"
"2025-10-27","27 Oct 2025","1.929"
"2025-10-28","28 Oct 2025","1.930"
"2025-10-29","29 Oct 2025","1.931"
"2025-10-30","30 Oct 2025","1.931"
"2025-10-31","31 Oct 2025","1.921"
"2025-11-03","03 Nov 2025","1.932"
"2025-11-04","04 Nov 2025","1.931"
"2025-11-05","05 Nov 2025","1.929"
"2025-11-06","06 Nov 2025","1.930"
"2025-11-07","07 Nov 2025","1.932"
"2025-11-10","10 Nov 2025","1.931"
"2025-11-11","11 Nov 2025","1.930"
"2025-11-12","12 Nov 2025","1.930"
"2025-11-13","13 Nov 2025","1.930"
"2025-11-14","14 Nov 2025","1.931"
"2025-11-17","17 Nov 2025","1.929"
"2025-11-18","18 Nov 2025","1.930"
"2025-11-19","19 Nov 2025","1.929"
"2025-11-20","20 Nov 2025","1.929"
"2025-11-21","21 Nov 2025","1.926"
"2025-11-24","24 Nov 2025","1.924"
"2025-11-25","25 Nov 2025","1.926"
"2025-11-26","26 Nov 2025","1.928"
"2025-11-27","27 Nov 2025","1.927"
"2025-11-28","28 Nov 2025","1.925"
"2025-12-01","01 Dec 2025","1.930"
"2025-12-02","02 Dec 2025","1.929"
"2025-12-03","03 Dec 2025","1.926"
"2025-12-04","04 Dec 2025","1.929"
"2025-12-05","05 Dec 2025","1.929"
"2025-12-08","08 Dec 2025","1.930"
"2025-12-09","09 Dec 2025","1.929"
"2025-12-10","10 Dec 2025","1.929"
"2025-12-11","11 Dec 2025","1.930"
"2025-12-12","12 Dec 2025","1.932"
"2025-12-15","15 Dec 2025","1.930"
"2025-12-16","16 Dec 2025","1.932"
"2025-12-17","17 Dec 2025","1.932"
"2025-12-18","18 Dec 2025","1.931"
"2025-12-19","19 Dec 2025","1.933"
"2025-12-22","22 Dec 2025","1.932"
"2025-12-23","23 Dec 2025","1.925"
"2025-12-24","24 Dec 2025","1.926"
"2025-12-29","29 Dec 2025","1.934"
"2025-12-30","30 Dec 2025","1.930"
"2025-12-31","31 Dec 2025","1.921"
"2026-01-02","02 Jan 2026","1.936"
"2026-01-05","05 Jan 2026","1.933"
"2026-01-06","06 Jan 2026","1.933"
"2026-01-07","07 Jan 2026","1.933"
"2026-01-08","08 Jan 2026","1.933"
"2026-01-09","09 Jan 2026","1.932"
"2026-01-12","12 Jan 2026","1.931"
"2026-01-13","13 Jan 2026","1.930"
"2026-01-14","14 Jan 2026","1.931"
"2026-01-15","15 Jan 2026","1.930"
"2026-01-16","16 Jan 2026","1.930"
"2026-01-19","19 Jan 2026","1.929"
"2026-01-20","20 Jan 2026","1.932"
"2026-01-21","21 Jan 2026","1.932"
"2026-01-22","22 Jan 2026","1.933"
"2026-01-23","23 Jan 2026","1.933"
